Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
82,Al Buckenberger,9,1889,1904,488,539,0.475,16,-51,1043,0,0,,2,11,5.1,0,0,0,0,0,,
83,Charlie Buffinton,1,1890,1890,61,54,0.53,1,7,116,0,0,,5,5,5,0,0,0,0,0,as player,plyr/mgr: 1890
84,Walter Burch,1,1942,1942,13,9,0.591,1,4,23,0,0,,1,1,1,,0,0,0,0,as player,
85,Jack Burdock,1,1883,1883,30,24,0.556,0,6,54,0,0,,1,1,1,0,0,0,0,0,as player,plyr/mgr: 1883
86,Jimmy Burke,4,1905,1920,206,236,0.466,3,-30,445,0,0,,4,6,4.9,1,0,0,0,0,as player,plyr/mgr: 1905
87,Tex Burnett,5,1937,1943,72,131,0.355,5,-59,208,0,0,,2,7,4.7,,0,0,0,0,as player,
88,Watch Burnham,1,1887,1887,6,22,0.214,0,-16,28,0,0,,8,8,8,0,0,0,0,0,,
89,Tom Burns,3,1892,1899,187,170,0.524,7,17,364,0,0,,4,8,5.9,0,0,0,0,0,as player,plyr/mgr: 1892
90,Bill Burwell,1,1947,1947,1,0,1,0,1,1,0,0,,7,7,7,0,0,0,0,0,as player,
91,Donie Bush,7,1923,1933,497,539,0.48,9,-42,1045,0,4,0,1,8,4.9,18,1,0,1,0,as player,plyr/mgr: 1923
92,Ormond Butler,1,1883,1883,17,36,0.321,0,-19,53,0,0,,7,7,7,0,0,0,0,0,,
93,Charlie Byrne,3,1885,1887,174,172,0.503,8,2,354,0,0,,3,6,4.6,0,0,0,0,0,,
94,Miguel Cairo,1,2022,2022,18,16,0.529,0,2,34,0,0,,2,2,2,1,0,0,0,0,as player,
95,Jimmy Callahan,7,1903,1917,394,458,0.462,14,-64,866,0,0,,3,8,5.8,15,0,0,0,0,as player,plyr/mgr: 1903-1913
96,Mickey Callaway,2,2018,2019,163,161,0.503,0,2,324,0,0,,3,4,3.5,6,0,0,0,0,as player,
97,Count Campau,1,1890,1890,27,14,0.659,1,13,42,0,0,,3,3,3,0,0,0,0,0,as player,plyr/mgr: 1890
98,Walter Cannady,1,1938,1938,11,28,0.282,1,-17,40,0,0,,6,6,6,,0,0,0,0,as player,
99,Joe Cantillon,3,1907,1909,158,297,0.347,10,-139,465,0,0,,7,8,7.7,3,0,0,0,0,,
100,Max Carey HOF,2,1932,1933,146,161,0.476,4,-15,311,0,0,,3,6,4.5,7,0,0,0,0,as player,
101,Tom Carey,2,1873,1874,27,21,0.563,1,6,49,0,0,,2,3,2.5,0,0,0,0,0,as player,plyr/mgr: 1873-1874
102,Bill Carrigan,7,1913,1929,489,500,0.494,14,-11,1003,8,2,0.8,1,8,4.6,7,2,2,2,0,as player,plyr/mgr: 1913-1916
103,Bob Caruthers,1,1892,1892,16,32,0.333,2,-16,50,0,0,,11,11,11,0,0,0,0,0,as player,plyr/mgr: 1892
104,Kevin Cash,8,2015,2022,640,554,0.536,0,86,1194,15,17,0.469,1,5,2.9,13,4,0,1,1,as player,
105,Phil Cavarretta,3,1951,1953,169,213,0.442,2,-44,384,0,0,,5,8,6.4,8,0,0,0,0,as player,plyr/mgr: 1951-1953
106,Ollie Caylor,3,1885,1887,163,182,0.472,8,-19,353,0,0,,2,7,4.6,0,0,0,0,0,,
107,Pelayo Chacón,5,1923,1927,103,112,0.479,3,-9,218,0,0,,2,8,4.6,,0,0,0,0,as player,
108,Frank Chance HOF,11,1905,1923,946,648,0.593,26,298,1620,11,9,0.55,1,8,3.1,15,4,2,4,0,as player,plyr/mgr: 1905-1914
109,Ben Chapman,4,1945,1948,196,276,0.415,2,-80,474,0,0,,5,8,6.7,10,0,0,0,0,as player,plyr/mgr: 1945-1946
110,Jack Chapman,11,1876,1892,350,501,0.411,16,-151,867,3,3,0.5,1,11,6.1,0,0,0,1,0,as player,plyr/mgr: 1876
111,Oscar Charleston HOF,14,1924,1948,420,377,0.527,7,43,804,4,3,0.571,1,7,3,,3,0,3,0,as player,
112,Hal Chase,2,1910,1911,86,80,0.518,1,6,167,0,0,,2,6,5.7,0,0,0,0,0,as player,plyr/mgr: 1910-1911
113,John Clapp,6,1872,1883,174,237,0.423,9,-63,420,0,0,,3,9,6,0,0,0,0,0,as player,plyr/mgr: 1872-1883
114,Dave Clark,1,2009,2009,4,9,0.308,0,-5,13,0,0,,5,5,5,0,0,0,0,0,as player,
115,Bob Clarke,2,1936,1937,45,48,0.484,3,-3,96,0,0,,2,4,3.2,,0,0,0,0,as player,
116,Fred Clarke HOF,19,1897,1915,1602,1181,0.576,43,421,2826,7,8,0.467,1,11,3.7,35,2,1,4,0,as player,plyr/mgr: 1897-1915
117,Jack Clements,1,1890,1890,13,6,0.684,0,7,19,0,0,,3,3,3,0,0,0,0,0,as player,plyr/mgr: 1890
118,Jim Clinton,1,1872,1872,0,11,0,0,-11,11,0,0,,9,9,9,0,0,0,0,0,as player,plyr/mgr: 1872
119,Ty Cobb HOF,6,1921,1926,479,444,0.519,10,35,933,0,0,,2,6,4,5,0,0,0,0,as player,plyr/mgr: 1921-1926
120,Mickey Cochrane HOF,5,1934,1938,348,250,0.582,2,98,600,7,6,0.538,1,4,1.8,0,2,1,2,1,as player,plyr/mgr: 1934-1937
121,Phil Cockrell,2,1929,1932,44,36,0.55,4,8,84,0,0,,3,7,3.2,,0,0,0,0,as player,
122,Andy Cohen,1,1960,1960,1,0,1,0,1,1,0,0,,8,8,8,0,0,0,0,0,as player,
123,Bob Coleman,3,1943,1945,128,165,0.437,2,-37,295,0,0,,6,6,6,0,0,0,0,0,as player,
124,Jerry Coleman,1,1980,1980,73,89,0.451,1,-16,163,0,0,,6,6,6,3,0,0,0,0,as player,
125,Eddie Collins HOF,3,1924,1926,174,160,0.521,2,14,336,0,0,,5,6,5.1,2,0,0,0,0,as player,plyr/mgr: 1924-1926
126,Jimmy Collins HOF,6,1901,1906,455,376,0.548,11,79,842,5,3,0.625,1,8,3,6,1,1,2,0,as player,plyr/mgr: 1901-1906
127,Shano Collins,2,1931,1932,73,134,0.353,1,-61,208,0,0,,6,8,6.5,0,0,0,0,0,as player,
128,Terry Collins,13,1994,2017,995,1017,0.495,0,-22,2012,8,7,0.533,1,4,2.6,40,2,0,1,1,,
129,Charlie Comiskey HOF,12,1883,1894,839,540,0.608,29,299,1408,16,21,0.432,1,10,3.4,2,0,1,4,0,as player,plyr/mgr: 1883-1894
130,Roger Connor HOF,1,1896,1896,8,37,0.178,1,-29,46,0,0,,11,11,11,0,0,0,0,0,as player,plyr/mgr: 1896
131,Dusty Cooke,1,1948,1948,6,6,0.5,1,0,13,0,0,,6,6,6,0,0,0,0,0,as player,
132,Jack Coombs,1,1919,1919,18,44,0.29,1,-26,63,0,0,,8,8,8,0,0,0,0,0,as player,
133,Johnny Cooney,1,1949,1949,20,25,0.444,1,-5,46,0,0,,4,4,4,0,0,0,0,0,as player,
134,Andy Cooper HOF,4,1937,1940,173,89,0.66,4,84,266,9,2,0.818,1,1,1,,3,0,3,0,as player,
135,Cecil Cooper,3,2007,2009,171,170,0.501,0,1,341,0,0,,3,4,3.5,9,0,0,0,0,as player,
136,Don Cooper,1,2011,2011,1,1,0.5,0,0,2,0,0,,3,3,3,0,0,0,0,0,as player,
137,Alex Cora,4,2018,2022,362,286,0.559,0,76,648,17,8,0.68,1,5,2.8,9,2,1,1,1,as player,
138,Pat Corrales,9,1978,1987,572,634,0.474,5,-62,1211,0,0,,1,7,4.6,38,0,0,0,0,as player,
139,Red Corriden,1,1950,1950,52,72,0.419,1,-20,125,0,0,,6,6,6,0,0,0,0,0,as player,
140,Chuck Cottier,3,1984,1986,98,119,0.452,0,-21,217,0,0,,5,7,6,5,0,0,0,0,as player,
141,Craig Counsell,8,2015,2022,615,555,0.526,0,60,1170,7,10,0.412,1,4,2.3,25,4,0,0,0,as player,
142,Bobby Cox HOF,29,1978,2010,2504,2001,0.556,3,503,4508,67,69,0.493,1,6,2.4,162,16,1,5,5,as player,
143,Roosevelt Cox,1,1937,1937,1,6,0.143,0,-5,7,0,0,,6,6,6,,0,0,0,0,as player,
144,Harry Craft,7,1957,1964,360,485,0.426,4,-125,849,0,0,,7,9,7.9,11,0,0,0,0,as player,
145,Roger Craig,10,1978,1992,738,737,0.5,0,1,1475,7,9,0.438,1,6,3.4,13,2,0,1,1,as player,
146,Del Crandall,6,1972,1984,364,469,0.437,0,-105,833,0,0,,5,7,5.4,9,0,0,0,0,as player,
147,Sam Crane,2,1880,1884,73,79,0.48,2,-6,154,0,0,,3,7,5.2,0,0,0,0,0,as player,plyr/mgr: 1880-1884
148,Gavvy Cravath,2,1919,1920,91,137,0.399,0,-46,228,0,0,,8,8,8,1,0,0,0,0,as player,plyr/mgr: 1919-1920
149,Bill Craver,5,1871,1876,91,101,0.474,3,-10,195,0,0,,2,11,4.9,0,0,0,0,0,as player,plyr/mgr: 1871-1875
150,Sam Crawford,6,1921,1928,166,163,0.505,4,3,333,0,0,,1,8,3.2,,0,0,0,0,as player,
151,George Creamer,1,1884,1884,0,8,0,0,-8,8,0,0,,10,10,10,0,0,0,0,0,as player,plyr/mgr: 1884
152,Joe Cronin HOF,15,1933,1947,1236,1055,0.54,24,181,2315,4,8,0.333,1,7,3.9,8,2,0,2,3,as player,plyr/mgr: 1933-1945
153,Jack Crooks,1,1892,1892,27,33,0.45,2,-6,62,0,0,,9,11,9.5,2,0,0,0,0,as player,plyr/mgr: 1892
154,Lave Cross,1,1899,1899,8,30,0.211,0,-22,38,0,0,,12,12,12,2,0,0,0,0,as player,plyr/mgr: 1899
155,Mike Cubbage,1,1991,1991,3,4,0.429,0,-1,7,0,0,,5,5,5,0,0,0,0,0,as player,
156,Homer Curry,8,1932,1947,223,227,0.496,13,-4,463,0,0,,3,9,5.1,,0,0,0,0,as player,
157,Ed Curtis,1,1884,1884,6,19,0.24,0,-13,25,0,0,,10,10,10,0,0,0,0,0,,
158,Charlie Cushman,1,1891,1891,21,15,0.583,0,6,36,0,0,,3,3,3,0,0,0,0,0,,
159,Ned Cuthbert,1,1882,1882,37,43,0.463,0,-6,80,0,0,,5,5,5,0,0,0,0,0,as player,plyr/mgr: 1882
160,Bill Dahlen,4,1910,1913,251,355,0.414,9,-104,615,0,0,,6,7,6.5,36,0,0,0,0,as player,plyr/mgr: 1910-1911
161,Al Dark,13,1961,1977,994,954,0.51,2,40,1950,10,9,0.526,1,10,4,25,3,1,2,2,as player,
162,Jim Davenport,1,1985,1985,56,88,0.389,0,-32,144,0,0,,6,6,6,0,0,0,0,0,as player,
163,Mordecai Davidson,1,1888,1888,35,54,0.393,4,-19,93,0,0,,7,7,7,0,0,0,0,0,,
164,George Davis HOF,3,1895,1901,107,139,0.435,6,-32,252,0,0,,7,9,7.6,4,0,0,0,0,as player,plyr/mgr: 1895-1901
165,Harry Davis,1,1912,1912,54,71,0.432,2,-17,127,0,0,,5,5,5,1,0,0,0,0,as player,plyr/mgr: 1912
166,Piper Davis,1,1948,1948,51,27,0.654,1,24,79,5,7,0.417,2,2,2,,1,0,1,0,as player,
167,Virgil Davis,1,1946,1946,1,2,0.333,0,-1,3,0,0,,7,7,7,0,0,0,0,0,as player,
168,John Day,1,1899,1899,29,35,0.453,2,-6,66,0,0,,10,10,10,0,0,0,0,0,,
169,Harry Deane,1,1871,1871,2,3,0.4,0,-1,5,0,0,,8,8,8,0,0,0,0,0,as player,plyr/mgr: 1871
170,Tony DeFrancesco,1,2012,2012,16,25,0.39,0,-9,41,0,0,,6,6,6,0,0,0,0,0,,
171,Bingo DeMoss,8,1926,1944,297,304,0.494,1,-7,602,3,4,0.429,3,6,4.4,,1,0,0,0,as player,
172,Bucky Dent,2,1989,1990,36,53,0.404,0,-17,89,0,0,,5,7,6.1,1,0,0,0,0,as player,
173,Bill Dickey HOF,1,1946,1946,57,48,0.543,0,9,105,0,0,,3,3,3,0,0,0,0,0,as player,plyr/mgr: 1946
174,Harry Diddlebock,1,1896,1896,7,10,0.412,0,-3,17,0,0,,11,11,11,0,0,0,0,0,,
175,Larry Dierker,5,1997,2001,435,348,0.556,0,87,783,2,12,0.143,1,4,1.6,6,4,0,0,0,as player,
176,Martín Dihigo HOF,2,1935,1936,58,51,0.532,6,7,115,3,4,0.429,2,4,3,,1,0,0,0,as player,
177,Dizzy Dismukes,9,1922,1938,199,280,0.415,6,-81,485,0,0,,1,8,5.3,,0,0,0,0,as player,
178,Rap Dixon,1,1934,1934,4,9,0.308,2,-5,15,0,0,,5,5,5,,0,0,0,0,as player,
179,Larry Doby HOF,1,1978,1978,37,50,0.425,0,-13,87,0,0,,5,5,5,3,0,0,0,0,as player,
