last_name, first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
Buehler, Walker,621111,95.2,94.9,91.5,83.5,90.5,79.2,,
Lange, Alex,656638,95.7,96.2,,,89.7,85.5,,
Cimber, Adam,643256,86.5,86.5,,77.8,,,,
Fulmer, Michael,605242,94.2,94.5,,90.3,86.5,78.9,,
Martin, Davis,663436,94,,,84.3,85.9,79.7,,
Pilkington, Konnor,663455,92.1,93.3,,81.9,84.4,77,,
Garcia, Yimi,554340,94.9,93.8,,89.4,87.2,82.4,,
Graveman, Kendall,608665,96.6,96.5,,88.7,90.7,83.3,,
Hernández, Carlos,672578,96.8,94.1,,85.8,,82.1,85,
Stephan, Trevor,663986,96.5,,,85.9,,,87.9,
Sanmartin, Reiver,665665,90.9,90.5,,82,85.2,,,
Muñoz, Andrés,662253,100.2,,,88.6,,,,
Duran, Jhoan,661395,100.8,,,89.7,,87.8,96.4,
Logue, Zach,656657,90.1,,85.9,,82,77.5,,
Estévez, Carlos,608032,97.5,,,87.3,88.4,,,
Givens, Mychal,571710,93.4,,,84.7,82.1,,,
Schreiber, John,670167,94.5,93.4,,82.1,88.5,,,
Hill, Garrett,682051,92,91.7,,82.6,82.2,77.1,,
Abreu, Bryan,650556,97.2,96,,88.4,89.7,84.5,,
Morgan, Eli,669212,92.1,,89.3,85.7,75.9,80.5,,
Martínez, Adrián,661309,,93.8,,82,84,,,
García, Jarlín,606424,93.8,,,82.7,85.2,,,
Edwards Jr., Carl,605218,94.6,,,,90.6,80.2,,
Neris, Héctor,593576,94.3,94.5,,87.6,,,85.1,
Norris, Daniel,596057,91.2,90.9,,79.9,86.7,76.1,,
Sanchez, Aaron,592717,92.4,92.1,,,87.8,79.1,,
Jansen, Kenley,445276,,93.6,92.2,81.2,,,,
Acevedo, Domingo,642758,93,92.2,,86.5,86.8,,,
Underwood Jr., Duane,621249,95.9,95.3,92.4,,89.6,82.7,,
Murfee, Penn,682171,89,88.9,,79.7,,,,
Beeks, Jalen,656222,95,,87.5,82.1,90.3,,,
Machado, Andres,600921,95.6,95,,87.1,88.9,,,
Bello, Brayan,678394,97,96.3,,85,88.2,80.2,,
Herget, Jimmy,623474,92.1,90.4,,83.2,84.3,74.8,,
Thielbar, Caleb,573204,92.8,,,81.3,82.7,73,,
Bautista, Félix,642585,99.2,,,85.2,,,88.4,
Santana, Dennis,642701,97.7,96.7,,85.8,89.9,,,
